service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20231017,20231025
2,1,1,1,1,1,0,0,20231017,20231027
3,0,0,0,0,0,1,0,20231021,20231021
4,0,0,0,0,0,0,1,20231022,20231022
5,1,1,1,1,1,0,0,20231026,20231027
6,1,1,1,1,1,0,0,20231017,20231020
7,0,1,1,1,1,1,0,20231018,20231021
8,1,1,1,1,1,0,0,20231017,20231026
9,1,1,1,1,1,0,0,20231017,20231019
10,0,1,1,1,1,1,0,20231018,20231020
11,1,1,1,1,1,0,0,20231017,20231017
12,0,1,1,1,1,1,0,20231018,20231018
13,1,1,1,1,1,0,0,20231018,20231020
14,0,1,1,1,1,1,0,20231019,20231021
15,1,1,1,1,1,0,0,20231020,20231020
16,0,1,1,1,1,1,0,20231021,20231021
17,1,0,0,0,0,0,0,20231023,20231023
18,1,1,1,1,1,0,0,20231023,20231027
19,0,1,1,1,1,1,0,20231024,20231028
20,1,1,1,1,1,0,0,20231023,20231026
21,0,1,1,1,1,1,0,20231024,20231027
22,1,1,1,1,1,0,0,20231023,20231023
23,0,1,1,1,1,1,0,20231024,20231024
24,1,1,1,1,1,0,0,20231023,20231025
25,0,1,1,1,1,1,0,20231024,20231026
26,1,1,1,1,1,0,0,20231024,20231027
27,0,1,1,1,1,1,0,20231025,20231028
28,1,1,1,1,1,0,0,20231024,20231025
29,0,1,1,1,1,1,0,20231025,20231026
30,0,1,1,1,1,1,0,20231027,20231028
31,1,1,1,1,1,0,0,20231026,20231026
32,0,1,1,1,1,1,0,20231027,20231027
33,1,1,1,1,1,0,0,20231027,20231027
34,0,1,1,1,1,1,0,20231028,20231028
35,0,1,1,1,1,1,0,20231018,20231026
36,0,1,1,1,1,1,0,20231018,20231028
37,1,1,1,1,1,0,0,20231017,20231018
38,0,1,1,1,1,1,0,20231018,20231019
39,1,1,1,1,1,1,1,20231017,20231027
40,1,1,1,1,1,0,0,20231017,20231027
41,1,1,1,1,1,0,0,20231018,20231025
42,0,1,1,1,1,1,0,20231019,20231026
43,1,1,1,1,1,0,0,20231018,20231018
44,1,1,1,1,1,0,0,20231018,20231027
45,1,1,1,1,1,0,0,20231019,20231027
46,0,1,1,1,1,1,0,20231020,20231028
47,1,1,1,1,1,0,0,20231019,20231020
48,1,1,1,1,1,0,0,20231020,20231027
49,0,1,1,1,1,1,0,20231021,20231028
50,1,1,1,1,1,0,0,20231020,20231025
51,0,0,0,0,0,1,1,20231021,20231022
52,1,0,0,0,0,0,1,20231022,20231023
53,1,1,1,1,1,0,0,20231017,20231027
54,1,1,1,1,1,0,0,20231017,20231025
55,1,1,1,1,1,0,0,20231017,20231026
56,0,1,1,1,1,1,0,20231018,20231027
57,1,1,1,1,1,0,0,20231017,20231024
58,0,1,1,1,1,1,0,20231018,20231025
59,1,1,1,1,1,0,0,20231017,20231027
60,0,1,1,1,1,1,0,20231018,20231028
61,1,1,1,1,1,0,0,20231017,20231027
62,1,1,1,1,1,0,0,20231017,20231025
63,1,1,1,1,1,1,1,20231017,20231022
64,1,1,1,1,0,0,0,20231017,20231026
65,0,1,1,1,1,1,0,20231019,20231028
66,1,1,1,1,1,0,0,20231018,20231024
67,0,1,1,1,1,1,0,20231019,20231025
68,1,1,1,1,1,0,0,20231019,20231019
69,1,1,1,1,1,0,0,20231019,20231025
70,0,1,1,1,1,1,0,20231020,20231021
71,1,1,1,1,1,0,0,20231020,20231027
72,0,1,1,1,1,1,0,20231021,20231028
73,1,1,1,1,1,0,0,20231020,20231023
74,0,0,0,0,1,0,0,20231020,20231027
75,0,0,0,0,0,1,1,20231021,20231021
76,1,0,0,0,0,0,1,20231022,20231022
77,0,0,0,0,0,1,1,20231022,20231022
78,1,0,0,0,0,0,1,20231023,20231023
79,1,1,1,1,1,0,0,20231023,20231024
80,1,1,1,1,1,1,1,20231023,20231027
81,1,1,1,1,1,0,0,20231025,20231027
82,1,1,1,1,1,0,0,20231025,20231025
83,0,1,1,1,1,1,0,20231026,20231028
84,1,1,1,1,1,0,0,20231025,20231027
